ElectDist,Knocked,Total,Percent
61001,180,196,0.918
61002,157,182,0.863
61004,95,95,1.000
61005,74,85,0.871
61006,0,62,0.000
61007,119,123,0.967
61008,59,67,0.881
61009,163,175,0.931
61010,114,156,0.731
61011,112,124,0.903
61012,132,171,0.772
61013,41,107,0.383
61014,119,120,0.992
61015,3,103,0.029
61016,144,150,0.960
61017,121,136,0.890
61018,86,86,1.000
61019,81,104,0.779
61020,104,104,1.000
61021,109,112,0.973
61022,129,142,0.908
61023,59,94,0.628
61024,0,93,0.000
61025,92,126,0.730
61026,166,184,0.902
61027,115,119,0.966
61028,58,84,0.690
61029,0,81,0.000
61003,507,556,0.912
61030,98,100,0.980
61031,128,131,0.977
61032,26,123,0.211
61033,4,123,0.033
61037,15,105,0.143
61038,0,102,0.000
61039,106,108,0.981
61040,0,101,0.000
61041,51,69,0.739
61042,114,118,0.966
61043,0,65,0.000
61044,66,68,0.971
61049,12,46,0.261
61050,61,62,0.984
61051,122,122,1.000
61052,95,95,1.000
61053,104,106,0.981
61054,32,83,0.386
61055,64,133,0.481
61056,102,112,0.911
61057,120,121,0.992
61058,142,142,1.000
61059,86,128,0.672
61060,0,95,0.000
61061,119,132,0.902
61062,0,72,0.000
61064,48,48,1.000
61065,25,164,0.152
61067,116,120,0.967
61068,75,101,0.743
61069,98,117,0.838
61070,86,94,0.915
61071,89,90,0.989
61072,91,91,1.000
61073,159,164,0.970
61074,45,47,0.957
61076,97,104,0.933
61077,74,88,0.841
61078,0,52,0.000
63010,55,57,0.965
63017,32,32,1.000
63036,110,110,1.000
63037,100,101,0.990
63038,0,130,0.000
63039,86,92,0.935
63040,0,66,0.000
63041,0,74,0.000
63042,87,93,0.935
63043,115,124,0.927
63044,107,146,0.733
63045,94,106,0.887
63056,0,71,0.000
63061,101,105,0.962
63068,0,126,0.000
63069,0,78,0.000
63071,0,109,0.000
63072,68,68,1.000
63073,55,59,0.932
63074,43,68,0.632
63080,89,98,0.908
63083,76,79,0.962
64047,82,82,1.000
64049,21,95,0.221
64050,0,79,0.000
64051,0,81,0.000
64052,0,65,0.000
64053,77,77,1.000
64061,0,73,0.000
